lag,out,node_id,metric,friedman_p_value,best_model_by_rank,significant_diff_found
7,7,146,RMSE,2.5868100222654134e-05,GCRN,True
7,7,146,MAE,3.763786373644495e-05,GCLSTM,True
7,7,147,RMSE,0.4723665527410149,GCRN,False
7,7,147,MAE,0.3049827687110593,GCRN,False
7,7,148,RMSE,1.2878968743320383e-06,GCLSTM,True
7,7,148,MAE,2.873686358243695e-07,GCLSTM,True
7,7,149,RMSE,0.8290291181804004,GCRN,False
7,7,149,MAE,5.8294663730868845e-05,GCLSTM,True
7,7,150,RMSE,0.2691463487291838,LSTM,False
7,7,150,MAE,0.1737739434504451,GCLSTM,False
7,7,151,RMSE,1.873878895066732e-06,GCLSTM,True
7,7,151,MAE,1.777886794572054e-05,GCRN,True
7,7,152,RMSE,2.873686358243695e-07,GCRN,True
7,7,152,MAE,0.046770622383958974,GCRN,False
7,7,153,RMSE,0.569782824730923,LSTM,False
7,7,153,MAE,0.6456485264278919,LSTM,False
7,7,154,RMSE,0.02209287766506244,GCRN,True
7,7,154,MAE,0.1737739434504451,GCRN,False
7,7,155,RMSE,1.1253517471925916e-07,GCRN,True
7,7,155,MAE,0.003388052521834713,GCRN,True
7,7,156,RMSE,0.007172507245008699,GCRN,True
7,7,156,MAE,0.0990134083638263,GCLSTM,False
7,7,157,RMSE,0.2691463487291838,GCRN,False
7,7,157,MAE,0.36787944117144245,LSTM,False
7,7,158,RMSE,2.5868100222654134e-05,GCLSTM,True
7,7,158,MAE,0.008651695203120634,GCRN,True
7,7,159,RMSE,1.777886794572054e-05,GCLSTM,True
7,7,159,MAE,2.144540831658915e-05,GCLSTM,True
7,7,160,RMSE,0.0002454297015009894,GCLSTM,True
7,7,160,MAE,0.7788007830714049,GCLSTM,False
7,7,161,RMSE,2.2828518322240145e-05,GCRN,True
7,7,161,MAE,0.1737739434504451,LSTM,False
7,7,162,RMSE,2.5868100222654134e-05,GCRN,True
7,7,162,MAE,9.611165206139472e-05,GCLSTM,True
7,7,163,RMSE,0.03877420783172202,GCRN,True
7,7,163,MAE,0.3049827687110593,GCRN,False
7,7,164,RMSE,5.8294663730868845e-05,GCRN,True
7,7,164,MAE,0.08737902619542039,GCRN,False
7,7,165,RMSE,0.0009118819655545164,GCRN,True
7,7,165,MAE,0.002328572174237713,GCLSTM,True
7,7,166,RMSE,5.8294663730868845e-05,GCLSTM,True
7,7,166,MAE,2.2603294069810534e-06,GCLSTM,True
7,7,167,RMSE,2.144540831658915e-05,GCRN,True
7,7,167,MAE,0.0990134083638263,LSTM,False
7,7,168,RMSE,0.0004307425405756874,GCLSTM,True
7,7,168,MAE,0.0016004026902445637,GCLSTM,True
7,7,169,RMSE,0.569782824730923,GCLSTM,False
7,7,169,MAE,0.003388052521834713,GCLSTM,True
7,7,170,RMSE,7.967935815531954e-05,GCLSTM,True
7,7,170,MAE,1.078342850406167e-05,GCLSTM,True
7,7,171,RMSE,0.569782824730923,GCLSTM,False
7,7,171,MAE,6.144212353328207e-06,GCRN,True
7,7,172,RMSE,5.771953345416447e-06,GCRN,True
7,7,172,MAE,1.2219225328134213e-05,GCLSTM,True
7,7,173,RMSE,0.0029899458563130608,GCRN,True
7,7,173,MAE,0.0002454297015009894,GCLSTM,True
7,7,174,RMSE,6.475952175842203e-07,GCRN,True
7,7,174,MAE,2.873686358243695e-07,GCRN,True
7,7,175,RMSE,5.771953345416447e-06,GCLSTM,True
7,7,175,MAE,0.04978706836786395,GCRN,False
7,7,176,RMSE,0.015184197956837946,GCRN,True
7,7,176,MAE,0.1737739434504451,GCRN,False
7,7,177,RMSE,2.2603294069810534e-06,GCRN,True
7,7,177,MAE,1.2878968743320383e-06,GCRN,True
7,7,178,RMSE,0.0990134083638263,GCRN,False
7,7,178,MAE,0.00031513797473735615,GCLSTM,True
7,7,179,RMSE,0.009209681603968142,GCRN,True
7,7,179,MAE,0.9394130628134758,LSTM,False
7,7,180,RMSE,0.6456485264278919,LSTM,False
7,7,180,MAE,5.8294663730868845e-05,GCRN,True
7,7,181,RMSE,0.00012340980408667962,LSTM,True
7,7,181,MAE,0.0990134083638263,LSTM,False
7,7,182,RMSE,1.078342850406167e-05,GCLSTM,True
7,7,182,MAE,0.4723665527410149,GCRN,False
7,7,183,RMSE,0.08737902619542039,LSTM,False
7,7,183,MAE,0.08737902619542039,LSTM,False
7,7,184,RMSE,1.2878968743320383e-06,GCLSTM,True
7,7,184,MAE,1.2219225328134213e-05,GCRN,True
7,7,185,RMSE,7.4113347994505565e-06,GCLSTM,True
7,7,185,MAE,0.002328572174237713,GCLSTM,True
7,7,186,RMSE,0.08737902619542039,GCLSTM,False
7,7,186,MAE,0.0005195746821548384,GCLSTM,True
7,7,187,RMSE,0.0009118819655545164,GCLSTM,True
7,7,187,MAE,0.4437473100810798,GCRN,False
7,7,188,RMSE,3.500866670425978e-06,GCLSTM,True
7,7,188,MAE,5.771953345416447e-06,GCLSTM,True
7,7,189,RMSE,4.78511739212901e-06,GCRN,True
