param_config,K,hidden_channel,model,lag,out,num_reps_found,RMSE_mean,RMSE_std,RMSE_min,RMSE_max,MAE_mean,MAE_std,MAE_min,MAE_max
K1_hc64_lag14_out7,1,64,GCRN,14,7,2,94.87773568832898,0.12213224523475219,591.6493519405535,591.893616431023,3.5724302384734705,0.016110600794142282,7.354029960416237,7.3862511620045215
K1_hc128_lag14_out7,1,128,GCRN,14,7,2,92.47763134232366,0.11669989754904009,590.3778065425421,590.6112063376402,3.4971150245851246,0.0228366617853748,7.26269495055561,7.30836827412636
K1_hc256_lag14_out7,1,256,GCRN,14,7,2,89.41828601452572,0.04386958509934402,589.0228236168722,589.1105627870709,3.328109358994351,0.02619798836699827,7.057695282479112,7.1100912592131085
K2_hc32_lag14_out7,2,32,GCRN,14,7,2,94.27347777027316,0.3070543601484701,591.4458467766317,592.0599554969286,3.7767524017180927,0.06817282190516138,7.543056899183182,7.679402542993505
K2_hc64_lag14_out7,2,64,GCRN,14,7,2,91.07537185934923,0.012264186479001182,591.3948286130963,591.4193569860543,3.708644227555107,0.012743284267589416,7.549835409049165,7.575321977584344
K2_hc128_lag14_out7,2,128,GCRN,14,7,2,89.18428037462967,0.16025669291184386,590.2716159668689,590.5921293526926,3.5506825163407116,0.015779576056460076,7.379474334027323,7.411033486140243
K2_hc256_lag14_out7,2,256,GCRN,14,7,2,88.35128857323832,0.043199215974482286,589.0312383715678,589.1176368035168,3.4986057812487603,0.005479070237952133,7.3266585861577065,7.337616726633611
K3_hc32_lag14_out7,3,32,GCRN,14,7,2,93.29044708356,0.08935631754684437,592.1633596771429,592.3420723122366,3.8478097487651493,0.012110454306264895,7.688260316049952,7.712481224662482
K3_hc64_lag14_out7,3,64,GCRN,14,7,2,93.57134970312218,0.1340818140160991,592.0214755583914,592.2896391864236,3.655848573729454,0.006640261956905924,7.518470262211999,7.531750786125811
K3_hc128_lag14_out7,3,128,GCRN,14,7,2,90.77997009484326,0.463001396977063,590.6005429304358,591.52654572439,3.486132633611504,0.03199448283104589,7.350723155260427,7.414712120922519
K3_hc256_lag14_out7,3,256,GCRN,14,7,2,88.26917524142611,0.25789106399241746,590.1032365081631,590.619018636148,3.4314780848788837,0.027245701182424753,7.2481668628868725,7.302658265251722
K4_hc32_lag14_out7,4,32,GCRN,14,7,2,94.64628465413854,0.13026490955076042,592.2648594808811,592.5253892999826,3.8925608405102685,0.046337959176669496,7.745684115607678,7.838360033961017
K4_hc64_lag14_out7,4,64,GCRN,14,7,2,93.4512382858795,0.00971010393374172,591.8273386412139,591.8467588490814,3.670486466981297,0.055515876986035106,7.517104910364414,7.628136664336484
K4_hc128_lag14_out7,4,128,GCRN,14,7,2,92.76451230739434,0.20058249868804978,591.6826895839521,592.0838545813282,3.528611892847186,0.01351129444755994,7.423223024607586,7.450245613502706
K4_hc256_lag14_out7,4,256,GCRN,14,7,2,91.54533234517646,0.27191562310144946,590.8780306893369,591.4218619355398,3.4762368285556926,0.017120564131359206,7.328435621856372,7.362676750119091
K1_hc32_lag14_out7,1,32,GCLSTM,14,7,2,93.77584248657317,0.23004854349738935,591.364649482435,591.8247465694297,3.8580400919251825,0.0451404569015712,7.508224251831434,7.598505165634577
K1_hc64_lag14_out7,1,64,GCLSTM,14,7,2,93.78534613093224,0.018064568059912745,591.7117563242235,591.7478854603434,3.6230039550682798,0.053668098395737385,7.355073148446568,7.462409345238043
K1_hc128_lag14_out7,1,128,GCLSTM,14,7,2,91.5794832191813,0.3073921298958453,590.4979691800123,591.112753439804,3.5151316698677646,0.0009178377808418681,7.298432452516616,7.3002681280783
K1_hc256_lag14_out7,1,256,GCLSTM,14,7,2,89.43991195855718,0.011062626568445921,589.6677552668086,589.6898805199455,3.489739506819198,0.040878807744204604,7.2059852976136005,7.28774291310201
K2_hc32_lag14_out7,2,32,GCLSTM,14,7,2,91.35150793559689,0.1200399272287882,591.2623542590027,591.5024341134603,3.7593538510061237,0.044275477791514195,7.523221064980622,7.6117720205636505
K2_hc64_lag14_out7,2,64,GCLSTM,14,7,2,90.78056311238208,0.17556057238971334,591.0933576919291,591.4444788367085,3.5809486187788337,0.008502006862904032,7.410502313565055,7.427506327290863
K2_hc128_lag14_out7,2,128,GCLSTM,14,7,2,89.93593147517146,0.060707640323016676,590.5968376423053,590.7182529229514,3.5624479274035865,0.022944797534147465,7.3638414828999865,7.4097310779682815
K2_hc256_lag14_out7,2,256,GCLSTM,14,7,2,87.78814240424136,0.0032162253217506986,589.52300710144,589.5294395520835,3.473972047180854,0.00226963077287623,7.260007860762665,7.264547122308417
K3_hc32_lag14_out7,3,32,GCLSTM,14,7,2,91.42324101336301,0.05148548676066867,591.5656554925303,591.6686264660516,3.6776166140170123,0.029661125071033467,7.479058258618757,7.538380508760824
