model_name,lags,out,Accuracy,Precision,Recall,F1_Score
GCRN,5,14,0.882750966578729,0.5677583703753495,0.1529852708370445,0.2409925156983448
GCLSTM,5,14,0.8824038456814687,0.5611967530059936,0.1542694992225896,0.2419991260911693
LSTM,5,14,0.8807269605459019,0.5380898483248009,0.2014287595902056,0.2904342383599627
GCRN,6,14,0.8836381802282451,0.5746427114209387,0.1684713049542814,0.2605495116960529
GCLSTM,6,14,0.883229981872043,0.5672562664620752,0.1704728400936828,0.2621504573475792
LSTM,6,14,0.8686785751131154,0.4793719092864353,0.2775509833319792,0.3369381224825201
GCRN,13,6,0.8947219929617021,0.6272558311045069,0.2826608185372848,0.3896927386789707
GCLSTM,13,6,0.89463602026663,0.6232390706736457,0.2881369329854982,0.3940788366029673
LSTM,13,6,0.8855536068411339,0.5416920382501528,0.4434160948071744,0.4792467105154552
GCRN,1,5,0.886390227696711,0.6709420140537729,0.0991949813766473,0.1728326082224858
GCLSTM,1,5,0.8863743494075456,0.6697345219696883,0.0994455708313874,0.1731754014800252
LSTM,1,5,0.8861382535585596,0.6311023155007659,0.1166491064207852,0.1968868612636696
GCRN,5,5,0.8940274121966386,0.6351209140222552,0.2688038909708063,0.3777314840821297
GCLSTM,5,5,0.8935203972979651,0.6246137739225903,0.276046780495028,0.3828574828744213
LSTM,5,5,0.8804363462898127,0.5135303881056227,0.4052005854680897,0.4475306521318861
GCRN,5,1,0.9192999582598622,0.7848931509968997,0.4495797602286787,0.5716935861468302
GCLSTM,5,1,0.919535747446611,0.7817800286891268,0.4554830268640585,0.5755926041546331
LSTM,5,1,0.9252314873970338,0.7302276707004877,0.5963067252584724,0.6564839200494876
GCRN,4,7,0.887751715656161,0.592859931212881,0.1977237270801896,0.2965443607602844
GCLSTM,4,7,0.8873700444325452,0.58397169420083,0.2043616985409581,0.302755159646212
LSTM,4,7,0.888921350910748,0.5842693925968602,0.2562077987889165,0.3555129148419604
GCRN,3,8,0.8846456704705424,0.5746729592357449,0.1503600757491367,0.2383051560021649
GCLSTM,3,8,0.8843326316059716,0.5664247763071952,0.1553124651888158,0.2437501747604142
LSTM,3,8,0.8852670842800234,0.5741019898751627,0.1761985518547399,0.2690649111333443
GCRN,2,1,0.9054530808138624,0.7257873038944176,0.3448671799604111,0.4675502411737026
GCLSTM,2,1,0.9054829286492584,0.7246153280926402,0.3464930015004332,0.4688082968637405
LSTM,2,1,0.9067925024272564,0.6639451318042904,0.4570009650673786,0.5413643168420517
GCRN,10,14,0.8838571027555935,0.5629423855199572,0.1820831360830657,0.2751470678785564
GCLSTM,10,14,0.8836635911862963,0.5593313857624508,0.1843070489814242,0.2772504515973404
LSTM,10,14,0.8531870058640804,0.4094923626004649,0.3496727726346912,0.3648776074050222
GCRN,14,13,0.8849751987007604,0.5587494471877911,0.1992199059105332,0.2937049344350501
GCLSTM,14,13,0.8848846711216221,0.55714894627765,0.2006976921336157,0.2950652809400942
LSTM,14,13,0.8371906279057505,0.3796926793764857,0.4067357204694353,0.3741363081046359
GCRN,1,13,0.8805228856266686,0.6675494134363111,0.0401617639199083,0.0757650166898274
GCLSTM,1,13,0.8804822565340131,0.6545832417848334,0.0419813110953831,0.0789019111619487
LSTM,1,13,0.8805080084799737,0.6617637985366076,0.0410122607808872,0.0772339952912074
GCRN,2,2,0.8979151456565887,0.6942761352022341,0.2676685357551446,0.3863730070473514
GCLSTM,2,2,0.8979359204283843,0.6912062316043792,0.2710795045267722,0.3894257808897174
LSTM,2,2,0.8975718107545483,0.6256495945306578,0.3658698323470007,0.4617173138804473
GCRN,9,12,0.8860371258088431,0.579342829996577,0.1929924996979061,0.2895248877801508
GCLSTM,9,12,0.885836712660059,0.5759469639817294,0.194108871030457,0.2903543972464442
LSTM,9,12,0.8653003102214736,0.443529904538707,0.3311233224818833,0.3715293095804941
GCRN,4,12,0.8829244042092231,0.5640392291318451,0.143673942026034,0.2289846956533587
GCLSTM,4,12,0.8828528319405755,0.5636224496077098,0.1417475544231138,0.2265209075913951
LSTM,4,12,0.8803084127147883,0.5288913457700462,0.1950269125938625,0.2823321067396912
GCRN,12,7,0.8925945331191384,0.6145909773298965,0.2626508857672764,0.3680113698489919
GCLSTM,12,7,0.8924584260610258,0.6105540487457043,0.2673581297282354,0.3718535479782052
LSTM,12,7,0.8763642638526574,0.494491249865349,0.4496788874424669,0.4635972610799261
GCRN,10,3,0.90636344057496,0.7107467657922187,0.3602943642470091,0.4781755499564559
GCLSTM,10,3,0.9064680150671706,0.7083369387732785,0.3647294713996196,0.4815069373556426
LSTM,10,3,0.905794470901848,0.6237662294470873,0.529957215613187,0.5726877410902572
GCRN,11,10,0.8883048606162683,0.5864631030020531,0.2194082682740892,0.319315641866998
GCLSTM,11,10,0.8881753881367278,0.5846747295162057,0.2196405865530245,0.3192956620365043
LSTM,11,10,0.8612407937639006,0.4368443438411454,0.4091310052322242,0.4130012263675325
GCRN,2,12,0.8810558714754958,0.5875693915487843,0.0738416558822132,0.1311818168888699
GCLSTM,2,12,0.8809437947761246,0.5793964393427614,0.076851881713652,0.1357031718756904
LSTM,2,12,0.8815012971972267,0.6052610874230374,0.073787357356424,0.1315331701285403
GCRN,7,8,0.8907739325400392,0.6182321436076094,0.2354293862092012,0.3409989936240701
GCLSTM,7,8,0.8903363798570016,0.6116932769288702,0.2366315695666703,0.3412376209978479
LSTM,7,8,0.8625245497605997,0.4421927154261528,0.4434666369611229,0.435886969109589
