Identificador,tipo_grafo,RMSE,MAE,R2
LSTM_k1_h256_lags9_out13_alpha0.01,grafo_original,1.36860160589121,0.1302713466627524,0.1763326651028263
GCRN_k1_h256_lags4_out3_alpha0.01,grafo_original,1.0427019214382038,0.1081208478765708,0.5128977811280092
GCLSTM_k1_h256_lags4_out3_alpha0.01,grafo_original,1.0454675249993646,0.1063695570839821,0.5103106393655689
LSTM_k1_h256_lags4_out3_alpha0.01,grafo_original,1.1327700612846336,0.1218853647440372,0.4251112427168795
GCRN_k1_h256_lags14_out3_alpha0.01,grafo_original,1.0830950355999345,0.1025811923621122,0.4636661337095191
GCLSTM_k1_h256_lags14_out3_alpha0.01,grafo_original,1.0922195351653294,0.1016633251943543,0.4545494138361432
LSTM_k1_h256_lags14_out3_alpha0.01,grafo_original,0.9755731618030742,0.098637107099983,0.5648736832288672
GCRN_k1_h256_lags8_out2_alpha0.01,grafo_original,0.983843201881067,0.1036704656450316,0.560266057722545
GCLSTM_k1_h256_lags8_out2_alpha0.01,grafo_original,0.9919006272974936,0.1020434053556314,0.5530422629920614
LSTM_k1_h256_lags8_out2_alpha0.01,grafo_original,0.9984696621698024,0.1059361822648191,0.5471028570123597
GCRN_k1_h256_lags10_out8_alpha0.01,grafo_original,1.2405938228646531,0.118806313414726,0.314391361734682
GCLSTM_k1_h256_lags10_out8_alpha0.01,grafo_original,1.2528991008226238,0.120320872285157,0.3007179151572268
LSTM_k1_h256_lags10_out8_alpha0.01,grafo_original,1.2779747076404808,0.1254887158013568,0.2724416803561484
GCRN_k1_h256_lags2_out13_alpha0.01,grafo_original,1.8000439849092191,0.2223931381366009,-0.4245141797305337
GCLSTM_k1_h256_lags2_out13_alpha0.01,grafo_original,1.7978047769158472,0.2222986575596744,-0.4209941492599544
LSTM_k1_h256_lags2_out13_alpha0.01,grafo_original,1.7218184794767133,0.2174227185714052,-0.3034696981616104
GCRN_k1_h256_lags11_out13_alpha0.01,grafo_original,1.355156219054492,0.1308939218802929,0.1924327742443143
GCLSTM_k1_h256_lags11_out13_alpha0.01,grafo_original,1.36230570350574,0.1319891243425709,0.1838897105752994
LSTM_k1_h256_lags11_out13_alpha0.01,grafo_original,1.368463016756592,0.1329827108678135,0.1764962898071997
GCRN_k1_h256_lags6_out10_alpha0.01,grafo_original,1.2980303537016913,0.133460558023384,0.2542768763583442
GCLSTM_k1_h256_lags6_out10_alpha0.01,grafo_original,1.3049761094018648,0.1344716150229428,0.2462735382826144
LSTM_k1_h256_lags6_out10_alpha0.01,grafo_original,1.3178420087937268,0.1260980580189203,0.2313413366863951
GCRN_k1_h256_lags12_out9_alpha0.01,grafo_original,1.277959144000945,0.1220856184799022,0.2726632590048881
GCLSTM_k1_h256_lags12_out9_alpha0.01,grafo_original,1.285378439632486,0.1216149373475443,0.264185216002652
LSTM_k1_h256_lags12_out9_alpha0.01,grafo_original,1.2985895310687152,0.129155135862169,0.248975843747693
GCRN_k1_h256_lags11_out11_alpha0.01,grafo_original,1.3175084274450088,0.1262942406392462,0.2324827956790871
GCLSTM_k1_h256_lags11_out11_alpha0.01,grafo_original,1.327333231580038,0.1274392901135764,0.2209945445327899
LSTM_k1_h256_lags11_out11_alpha0.01,grafo_original,1.3375314717121791,0.1306316027107439,0.2089763227465207
GCRN_k1_h256_lags7_out11_alpha0.01,grafo_original,1.3139612748203464,0.1327158869321315,0.237897553812063
GCLSTM_k1_h256_lags7_out11_alpha0.01,grafo_original,1.3216532524564053,0.1340636580950342,0.2289509260150319
LSTM_k1_h256_lags7_out11_alpha0.01,grafo_original,1.3424031598422328,0.1268573127258571,0.2045428877514836
GCRN_k1_h256_lags4_out8_alpha0.01,grafo_original,1.2973196458892566,0.1442359627749364,0.2532466688273923
GCLSTM_k1_h256_lags4_out8_alpha0.01,grafo_original,1.307631998052966,0.1462451023168796,0.2413332097045419
LSTM_k1_h256_lags4_out8_alpha0.01,grafo_original,1.3128550136594552,0.1480761915118925,0.2352666922888186
