param_config,K,hidden_channel,model,lag,out,num_reps_found,RMSE_mean,RMSE_std,RMSE_min,RMSE_max,MAE_mean,MAE_std,MAE_min,MAE_max
K1_hc32_lag7_out14,1,32,LSTM,7,14,2,1.0828656307518263,0.005371163103650378,1.4861502451634823,1.496892571370783,0.14922533155398746,0.0024603175218925605,0.1684980479233763,0.17341868296716142
K1_hc64_lag7_out14,1,64,LSTM,7,14,2,1.051451565312675,0.017541432150100622,1.44016225287591,1.4752451171761112,0.14199098978503016,0.005062463388350064,0.15796874772133596,0.16809367449803608
K1_hc128_lag7_out14,1,128,LSTM,7,14,2,0.9935141231952355,0.0015256913386946236,1.410040729152834,1.4130921118302233,0.12092888779369962,0.0005871889359806842,0.14433591590683176,0.14551029377879313
K1_hc256_lag7_out14,1,256,LSTM,7,14,2,0.9797621832937135,0.00046625670816313747,1.3972890890863414,1.3982216025026677,0.10954586546237759,0.0007754202793796156,0.13558169656445004,0.13713253712320927
K2_hc32_lag7_out14,2,32,LSTM,7,14,2,1.0828656307518263,0.005371163103650378,1.4861502451634823,1.496892571370783,0.14922533155398746,0.0024603175218925605,0.1684980479233763,0.17341868296716142
K2_hc64_lag7_out14,2,64,LSTM,7,14,2,1.051451565312675,0.017541432150100622,1.44016225287591,1.4752451171761112,0.14199098978503016,0.005062463388350064,0.15796874772133596,0.16809367449803608
K2_hc128_lag7_out14,2,128,LSTM,7,14,2,0.9935141231952355,0.0015256913386946236,1.410040729152834,1.4130921118302233,0.12092888779369962,0.0005871889359806842,0.14433591590683176,0.14551029377879313
K2_hc256_lag7_out14,2,256,LSTM,7,14,2,0.9797621832937135,0.00046625670816313747,1.3972890890863414,1.3982216025026677,0.10954586546237759,0.0007754202793796156,0.13558169656445004,0.13713253712320927
K3_hc32_lag7_out14,3,32,LSTM,7,14,2,1.0828656307518263,0.005371163103650378,1.4861502451634823,1.496892571370783,0.14922533155398746,0.0024603175218925605,0.1684980479233763,0.17341868296716142
K3_hc64_lag7_out14,3,64,LSTM,7,14,2,1.051451565312675,0.017541432150100622,1.44016225287591,1.4752451171761112,0.14199098978503016,0.005062463388350064,0.15796874772133596,0.16809367449803608
K3_hc128_lag7_out14,3,128,LSTM,7,14,2,0.9935141231952355,0.0015256913386946236,1.410040729152834,1.4130921118302233,0.12092888779369962,0.0005871889359806842,0.14433591590683176,0.14551029377879313
K3_hc256_lag7_out14,3,256,LSTM,7,14,2,0.9797621832937135,0.00046625670816313747,1.3972890890863414,1.3982216025026677,0.10954586546237759,0.0007754202793796156,0.13558169656445004,0.13713253712320927
K4_hc32_lag7_out14,4,32,LSTM,7,14,2,1.0828656307518263,0.005371163103650378,1.4861502451634823,1.496892571370783,0.14922533155398746,0.0024603175218925605,0.1684980479233763,0.17341868296716142
K4_hc64_lag7_out14,4,64,LSTM,7,14,2,1.051451565312675,0.017541432150100622,1.44016225287591,1.4752451171761112,0.14199098978503016,0.005062463388350064,0.15796874772133596,0.16809367449803608
K4_hc128_lag7_out14,4,128,LSTM,7,14,2,0.9935141231952355,0.0015256913386946236,1.410040729152834,1.4130921118302233,0.12092888779369962,0.0005871889359806842,0.14433591590683176,0.14551029377879313
K4_hc256_lag7_out14,4,256,LSTM,7,14,2,0.9797621832937135,0.00046625670816313747,1.3972890890863414,1.3982216025026677,0.10954586546237759,0.0007754202793796156,0.13558169656445004,0.13713253712320927
K1_hc32_lag14_out7,1,32,GCRN,14,7,2,1.1181410999851218,0.01801840143961342,1.3471311815625142,1.383167984441741,0.10603382911438804,0.0008169556970310105,0.12680852895506092,0.12844244034912294
K1_hc64_lag14_out7,1,64,GCRN,14,7,2,1.0641706393385169,0.011499495420877803,1.305611217295276,1.3286102081370317,0.09979600348392445,0.00106621086026569,0.12044163952780541,0.1225740612483368
K1_hc128_lag14_out7,1,128,GCRN,14,7,2,1.0120009811352113,0.006574730471602286,1.2611140027958743,1.2742634637390788,0.09699573793061572,0.001147322818658529,0.11897812278932673,0.12127276842664379
K1_hc256_lag14_out7,1,256,GCRN,14,7,2,0.9766581020355558,0.005993029220931589,1.227623023548316,1.2396090819901793,0.09387422292977227,0.0010126432011686379,0.11525153665120368,0.11727682305354095
K2_hc32_lag14_out7,2,32,GCRN,14,7,2,2.607574881031297,0.02373865827621402,3.2135353219642044,3.2610126385166325,0.20034487310640006,0.0009902003801825626,0.24471833921045272,0.24669873997081784
K2_hc64_lag14_out7,2,64,GCRN,14,7,2,2.41462542705404,0.3015351043249499,2.5223822941467535,3.1254525027966533,0.18695692439578065,0.014941958018784562,0.20727005468236662,0.23715397071993574
K2_hc128_lag14_out7,2,128,GCRN,14,7,2,2.334071187895739,0.025268375097645457,2.7055644773646854,2.7561012275599763,0.1908442407608526,0.002439346924382718,0.21909356199348262,0.22397225584224806
K2_hc256_lag14_out7,2,256,GCRN,14,7,2,2.2225791150008525,0.07039503960115745,2.399152724706444,2.539942803908759,0.17891291475117355,0.006807038321300529,0.1943848684573683,0.20799894509996936
K3_hc32_lag14_out7,3,32,GCRN,14,7,2,3.671905805910065,0.09533903883707895,4.523098321956052,4.71377639963021,0.3169879924099399,0.0013826399332126371,0.3605462959799708,0.36331157584639606
K3_hc64_lag14_out7,3,64,GCRN,14,7,2,4.888274487817146,0.03894766989038034,5.685869916052658,5.763765255833419,0.38780708542677084,0.007504347909032955,0.41698959691587506,0.43199829273394097
K3_hc128_lag14_out7,3,128,GCRN,14,7,2,3.361018833735591,0.0512553813470038,3.9961465031289056,4.098657265822913,0.25413937097341205,0.0005059154765567619,0.30418510152358025,0.30519693247669377
K3_hc256_lag14_out7,3,256,GCRN,14,7,2,3.3411694940707846,0.01758000605435872,3.7843295871070106,3.819489599215728,0.2516840802136016,0.0010152232318013932,0.2879429412798733,0.2899733877434761
K4_hc32_lag14_out7,4,32,GCRN,14,7,2,10.73330514578935,0.9553253512460476,11.696651161369765,13.60730186386186,0.7638215502863924,0.04785752865957782,0.7825252225946513,0.8782402799138069
K4_hc64_lag14_out7,4,64,GCRN,14,7,2,10.866156364618885,0.023503524649416185,12.972574050933963,13.019581100232795,0.7541006063603299,0.00015967678259926066,0.8388652216741161,0.8391845752393147
K4_hc128_lag14_out7,4,128,GCRN,14,7,2,11.20166226552429,0.6746523503990076,12.123129405023473,13.472434105821488,0.7366808211773853,0.04266090591269178,0.7698335434354681,0.8551553552608516
K4_hc256_lag14_out7,4,256,GCRN,14,7,2,9.893128431779264,0.22318443407844146,11.008112981224793,11.454481849381676,0.6474043896896681,0.005195582795576914,0.701477672249381,0.7118688378405348
K1_hc32_lag14_out7,1,32,GCLSTM,14,7,2,1.1507605147775224,0.006121240541148043,1.3836403524595495,1.3958828335418456,0.10479293692536801,0.00045624459481567736,0.12177071888052869,0.12268320807016005
K1_hc64_lag14_out7,1,64,GCLSTM,14,7,2,1.0992094160718806,0.0069472340592070525,1.3368145112528793,1.3507089793712934,0.09917568644932025,0.0010824594289090897,0.11931998481476133,0.12148490367257951
K1_hc128_lag14_out7,1,128,GCLSTM,14,7,2,1.029636296373158,0.005409859756336122,1.2771689156142354,1.2879886351269076,0.09627023510080658,0.0006336319208260846,0.11839626581258529,0.11966352965423746
K1_hc256_lag14_out7,1,256,GCLSTM,14,7,2,0.9986823263010739,0.001320653520744064,1.250893374904024,1.2535346819455122,0.09385965350836675,6.315253195814108e-05,0.11688767196239533,0.11701397702631161
K2_hc32_lag14_out7,2,32,GCLSTM,14,7,2,1.9019543111091095,0.11671866679679077,2.22996079110977,2.4633981247033514,0.16589108839448485,0.004999272245814687,0.19320927561763884,0.20320782010926822
K2_hc64_lag14_out7,2,64,GCLSTM,14,7,2,1.918094925926185,0.002575641254456418,2.2655144990736686,2.2706657815825815,0.1681896687418294,0.003408768873110285,0.19068581360091105,0.19750335134713162
K2_hc128_lag14_out7,2,128,GCLSTM,14,7,2,2.0087805740762423,0.004960446065157109,2.2588386243730265,2.2687595165033407,0.1738233409845493,0.002472779986383511,0.19294064658760243,0.19788620656036945
K2_hc256_lag14_out7,2,256,GCLSTM,14,7,2,1.879438453985817,0.07702846379244699,2.0380475339114774,2.1921044614963714,0.1628025254589175,0.003439579360010575,0.17933021337502494,0.1862093720950461
K3_hc32_lag14_out7,3,32,GCLSTM,14,7,2,3.385219550428553,0.5543472917791108,3.4474516011849894,4.556146184743211,0.29116142195645844,0.037575363255109684,0.2852828740834272,0.36043360059364654
K3_hc64_lag14_out7,3,64,GCLSTM,14,7,2,3.6655825616761026,0.28863674870225897,3.999415944923966,4.576689442328484,0.3052024269539951,0.0007727442656310646,0.3370756821020376,0.3386211706332997
K3_hc128_lag14_out7,3,128,GCLSTM,14,7,2,2.9220805708366733,0.4790341180759241,2.9054418080195195,3.8635100441713677,0.2157059153704056,0.01975356393402007,0.2328565131822685,0.27236364105030864
K3_hc256_lag14_out7,3,256,GCLSTM,14,7,2,2.969198325047814,0.3106123078586236,2.9773661302105845,3.5985907459278317,0.2288757328276341,0.01651299435799962,0.24361176345678134,0.2766377521727806
K4_hc32_lag14_out7,4,32,GCLSTM,14,7,2,8.048168547993148,0.05738423664147252,9.344239437380303,9.459007910663248,0.6205593195450549,0.005048133757639128,0.6694017223368507,0.679497989852129
K4_hc64_lag14_out7,4,64,GCLSTM,14,7,2,7.764613393748807,0.14064257248702017,8.886663382937266,9.167948527911307,0.5571739794211041,0.018601033359009755,0.6026757394775263,0.6398778061955458
K4_hc128_lag14_out7,4,128,GCLSTM,14,7,2,8.06204471748066,0.897741433200391,8.236836958462858,10.03231982486364,0.5612938896884746,0.05144518975174711,0.5603354590069612,0.6632258385104555
K4_hc256_lag14_out7,4,256,GCLSTM,14,7,2,7.525635661330939,0.13724415700259573,8.402851179110849,8.67733949311604,0.5047174413333446,0.009427602063717122,0.5530229675510953,0.5718781716785295
K1_hc32_lag14_out7,1,32,LSTM,14,7,2,1.1046225801761689,0.00010765509999743905,1.3466335163511793,1.3468488265511742,0.13031008298264696,0.0012749232556227424,0.14445172888413055,0.14700157539537603
K1_hc64_lag14_out7,1,64,LSTM,14,7,2,1.0273936666986543,0.0011751665097246011,1.2782006481710475,1.2805509811904967,0.10558052102513468,5.944683676344098e-05,0.12512835137076414,0.12524724504429102
K1_hc128_lag14_out7,1,128,LSTM,14,7,2,1.0168030597660331,0.0025719584280418095,1.2650670938276924,1.270211010683776,0.10401144905138905,0.0007338660450225826,0.12230905744026749,0.12377678953031265
K1_hc256_lag14_out7,1,256,LSTM,14,7,2,1.0074607638482467,0.003066695436065303,1.2547298962473306,1.2608632871194612,0.09712291796967942,3.969383362135981e-05,0.11603580558699159,0.1161151932542343
K2_hc32_lag14_out7,2,32,LSTM,14,7,2,1.1046225801761689,0.00010765509999743905,1.3466335163511793,1.3468488265511742,0.13031008298264696,0.0012749232556227424,0.14445172888413055,0.14700157539537603
K2_hc64_lag14_out7,2,64,LSTM,14,7,2,1.0273936666986543,0.0011751665097246011,1.2782006481710475,1.2805509811904967,0.10558052102513468,5.944683676344098e-05,0.12512835137076414,0.12524724504429102
K2_hc128_lag14_out7,2,128,LSTM,14,7,2,1.0168030597660331,0.0025719584280418095,1.2650670938276924,1.270211010683776,0.10401144905138905,0.0007338660450225826,0.12230905744026749,0.12377678953031265
